.5,	-1.6,	0
.3535,	-1.4,	.3535
0,	-1.2,	.5
-.3535,	-1.0,	.3535
-.5,	-.8,	0
-.3535,	-.6,	-.3535
0,	-.4,	-.5
.3535,	-.2,	-.3535
.5,	0,	0
.3535,	.2,	.3535
0,	.4,	.5
-.3535,	.6,	.3535
-.5,	.8,	0
-.3535,	1.0,	-.3535
0,	1.2,	-.5
.3535,	1.4,	-.3535
-.5,	-1.6,	0
-.3535,	-1.4,	-.3535
0,	-1.2,	-.5
.3535,	-1.0,	-.3535
.5,	-.8,	0
.3535,	-.6,	.3535
0,	-.4,	.5
-.3535,	-.2,	.3535
-.5,	0,	0
-.3535,	.2,	-.3535
0,	.4,	-.5
.3535,	.6,	-.3535
.5,	.8,	0
.3535,	1.0,	.3535
0,	1.2,	.5
-.3535,	1.4,	.3535
a,b,c
1,17
2,18
3,19
4,20
5,21
6,22
7,23
8,24
9,25
10,26
11,27
12,28
13,29
14,30
15,31
16,32
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
