-.5,	0,	0
-.3535,	0,	-.3535
0,	0,	-.5
.3535,	0,	-.3535
.5,	0,	0
.3535,	0,	.3535
0,	0,	.5
-.3535,	0,	.3535
-.5,	.25,	0
-.3535,	.25,	-.3535
0,	.25,	-.5
.3535,	.25,	-.3535
.5,	.25,	0
.3535,	.25,	.3535
0,	.25,	.5
-.3535,	.25,	.3535
-.25,	.3,	0
-.17675,	.3,	-.17675
0,	.3,	-.25
.17675,	.3,	-.17675
.25,	.3,	0
.17675,	.3,	.17675
0,	.3,	.25
-.17675,	.3,	.17675
-.1667,	1.1,	0
-.1178,	1.1,	-.1178
0,	1.1,	-.1667
.1178,	1.1,	-.1178
.1667,	1.1,	0
.1178,	1.1,	.1178
0,	1.1,	.1667
-.1178,	1.1,	.1178
-.25,	1.2,	0
-.17675,	1.2,	-.17675
0,	1.2,	-.25
.17675,	1.2,	-.17675
.25,	1.2,	0
.17675,	1.2,	.17675
0,	1.2,	.25
-.17675,	1.2,	.17675
-.25,	1.4,	0
-.17675,	1.4,	-.17675
0,	1.4,	-.25
.17675,	1.4,	-.17675
.25,	1.4,	0
.17675,	1.4,	.17675
0,	1.4,	.25
-.17675,	1.4,	.17675
-.1667,	1.5,	0
-.1178,	1.5,	-.1178
0,	1.5,	-.1667
.1178,	1.5,	-.1178
.1667,	1.5,	0
.1178,	1.5,	.1178
0,	1.5,	.1667
-.1178,	1.5,	.1178
0,	1.55,	0
0,	0,	0
a,b,c
1,58
2,58
3,58
4,58
5,58
6,58
7,58
8,58
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,1
1,9
2,10
3,11
4,12
5,13
6,14
7,15
8,16
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,9
9,17
10,18
11,19
12,20
13,21
14,22
15,23
16,24
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,17
17,25
18,26
19,27
20,28
21,29
22,30
23,31
24,32
25,33
26,34
27,35
28,36
29,37
30,38
31,39
32,40
33,41
34,42
35,43
36,44
37,45
38,46
39,47
40,48
41,49
42,50
43,51
44,52
45,53
46,54
47,55
48,56
49,57
50,57
51,57
52,57
53,57
54,57
55,57
56,57
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,25
33,34
34,35
35,36
36,37
37,38
38,39
39,40
40,33
41,42
42,43
43,44
44,45
45,46
46,47
47,48
48,41
49,50
50,51
51,52
52,53
53,54
54,55
55,56
56,49
